info 278 15
system_278 False 182.11208377231006
system_278 False 207.1064084590619
system_278 True 182.8157565632894
system_278 False 174.4230487980678
system_278 False 194.3105188295055
system_278 False 211.9322404378094
system_278 False 212.32861985897298
system_278 False 211.91978020998496
system_278 False 211.4226571034279
system_278 False 211.70942759087743
system_278 False 211.96095775596103
system_278 False 212.03743980365675
system_278 False 212.11422419106503
system_278 False 211.82970663798562
system_278 False 211.08150815687213
system_278 False 210.08093394814603
system_278 False 211.34574779716152
system_278 False 212.03661810726308
system_278 False 211.66700144778974
system_278 False 211.44207282258952
